dirName,fileName,Flag
Payments/CoreServices,ProcessPaymentTest,0
Payments/CoreServices,ProcessCreditTest,0
Payments/CoreServices,CapturePaymentTest,0
Payments/CoreServices,ProcessAuthorizationReversalTest,0
Payments/CoreServices,RefundCaptureTest,0
Payments/CoreServices,RefundPaymentTest,0
Payments/CoreServices,VoidCaptureTest,0
Payments/CoreServices,VoidCreditTest,0
Payments/CoreServices,VoidPaymentTest,0
Payments/CoreServices,VoidRefundTest,0
Payouts/CoreServices,ProcessPayoutTest,0
TMS/CoreServices,CreateInstrumentIdentifierTest,0
TMS/CoreServices,CreatePaymentInstrumentTest,0
TMS/CoreServices,DeleteInstrumentIdentifierTest,0
TMS/CoreServices,DeletePaymentInstrumentTest,0
TMS/CoreServices,RetrieveAllPaymentInstrumentsTest,0
TMS/CoreServices,RetrieveInstrumentIdentifierTest,0
TMS/CoreServices,RetrievePaymentInstrumentTest,0
TMS/CoreServices,UpdateInstrumentIdentifierTest,0
TMS/CoreServices,UpdatePaymentInstrumentTest,0
Flex/CoreServices,GenerateKeyTest,0
Flex/CoreServices,TokenizeCardTest,0
Flex,KeyGenerationNoEncTest,0
UserManagement/CoreServices,GetUserInformationTest,0
TransactionSearch/CoreServices,CreateSearchRequestTest,0
TransactionSearch/CoreServices,GetSearchResultsTest,0
TransactionDetails/CoreServices,RetrieveTransactionTest,0
TransactionBatches/CoreServices,GetIndividualBatchFileTest,0
TransactionBatches/CoreServices,GetListOfBatchFilesTest,0
SecureFileShare/CoreServices,DownloadFileWithFileIdentifierTest,0
SecureFileShare/CoreServices,GetListOfFilesTest,0
Reporting/CoreServices,CreateAdhocReportTest,0
Reporting/CoreServices,CreateReportSubscriptionForReportNameByOrganizationTest,0
Reporting/CoreServices,DeleteSubscriptionOfReportNameByOrganizationTest,0
Reporting/CoreServices,DownloadReportTest,1
Reporting/CoreServices,GetAllSubscriptionsTest,0
Reporting/CoreServices,GetAvailableReportsTest.js,0
Reporting/CoreServices,GetNotificationOfChangesTest.js,0
Reporting/CoreServices,GetPurchaseAndRefundDetailsTest.js,0
Reporting/CoreServices,GetReportBasedOnReportidTest,0
Reporting/CoreServices,GetReportDefinitionTest,0
Reporting/CoreServices,GetReportingResourceInformationTest,0
Reporting/CoreServices,GetSubscriptionForReportNameTest.js,0
Reporting/CoreServices,RetrieveAvailableReportsTest.js,0
